#	First Name	Last Name	Gender	Race	Nationality	Religion	Class	Looks	Role	Context	Source		
1	Tshiko	Mwala	m	human	Catai	Catholic	Class and level	"Short, black hair, baggy clothes and a cutlass."	Sailor	Adventuring	Green box	1	
2	Rigualdo	Torragol	m	human	Themiscyran	Muslim (Sunni)	Monk: 8	Tall black man with stern face and military-grade weapons and armor.	Infantry	Nobility	Blue Box	1	
3	Vlava	Skulovce	m	kobold	Scholomancian	Orthodox Christian	Rogue: 6 / Bard: 2	Thin blond long-haired woman wearing rags with angry eyes	Street criminal	The East		1	
4	Merey	Anfor	f	double kobold	Mezzoramian	Lutheran	Expert: 4 / Artificer: 4	Tall black woman with short hair and a distracted look. Wears a tricorne hat and carries a birdcage.	Warlock	The West	Page 32	1	
5	Dolores	Celida	f	werechicken	Thuvar	Catholic	Fighter: 6	Strong woman with thick lips and gaudy brigandine carrying a massive longbow	Archer	The North		1	
6	Allald	Bermoor	m	fish	Cushite	Orthodox Christian	Fighter: 6	"Short think black man with lamp mustache, quizzical eyes and white mantelet."	Snoop	The South		1	
7	Ibhuvat	Garama	m	human	Iramian	Muslim (Sunni)	Rogue: 2 / paladin: 4 / deadgrim: 3	"Tall, dark, black square beard, unibrow"	Captain of the Tayish Majhoud (Xebec)	The Metropolin		1	
8	Neferhay	Taty	f	human	Avalonian	Lutheran	Cleric: 1 / Monk: 6 / Sacred Fist: 4	"Small, rounded, bobbed red hair with straight bangs, evening cream-colored dress and green pearl necklace"	Vicecountess of Larkentor Fort. Older sister of Paul Larkentor.	Key Plot		1	
9	Ipytet	Medju	f	half dwarf	Atlantian	Hindu	Ranger: 4 / rogue: 1 / impure prince: 3	The young woman wears a revealing cotton shift. She has darting brown eyes and a small tattoo of a swan near her eye. Her hair is tucked in a headscarf.	Captain of the ship The Orange Tree. Teacher. Indebted and tries to release her parents from bondage.	Subplot		1	
10	Botho	Nyago	m	human	Paititi	Voudoun	Wizard (illusionist): 3 / Psion (telepath): 3 / Cerebremancer: 7	"Middle-age, pretty, "	"Former prostitute, claims she had a son by Hatib Abdel Salman"	Adventuring		1	
11	Ikaido	Yamamoto	m	half kobold	Paititi	Cynic	Cleric: 2	"Short cropped curly dark hair, rounded face, large black eyes, perfect teeth"	"Con artist, claims to be the son of Captain Hatib Abdel Salman"	Nobility		1	
12	Kama	Umbanye	m	centaur	Laestygian	Nord	Expert: 6	"Tall, short black curly hair, black skin, thick lips, broad shoulders."	"Navigator on the Xiao Li, loyal to Hatib Abdel Salman"	The East		1	
13	Ni Shi-Shio	Xingyi	f	chocolate golem	Aztlan	Sun	Psychic Warrior: 10	"Plump, long braid down her back, wears simple undied shifts."	"Cook on the Xiao Li, partial owner of the ship. "	The West		1	
14	Muta	Bino	f	plastic dragon	Thulian	Lutheran	Fighter: 2/ Psychic Warrior: 3	"Sharp nose, short straight blond hair, freckles, green eyes"	"Physician on the Xiao Li, loyal to Viscountess Edith Larkentor"	The North		1	
15	Ativan	Amreshwam	m	human	Thuvar	Catholic	Adept: 9	"Round brown face, short black curly hair, soft friendly eyes and a warm smile"	"Playwright from Acorma, manipulator"	The South	Page 44	1	
16	Tsuda	Kosawa	m	human	Paititi	Catholic	Ranger: 4 / Extreme Explorer: 1	A striking beautiful face peers from a nun's veil with stray golden brown curles peeking through. Fierce brown eyes.	"Abess of Lenceau Monastery, political player"	The Metropolin		1	
17	Kunda	Darjain	f	human	Themiscyran	Catholic		"Tan with a shaggy mane of hair and an umkempt beard, laughing black eyes, wears woolen clothes in greens and yellows"	"Organizes the rebellion in Acorma, agent of Baron Avan se Tosiera. Brother of Lomadwa Mana."	Key Plot		1	
18	Amalia	de Santos	f	human	Patagonian	Catholic	Rogue: 2 / Fighter: 4 / Dark Lantern: 4	"Oily skin, goatee and pencil mustache, paunch"	"Baron of Tosiera, scheming, ally of Heny Jabahi, wishes to marry the actress Rebecca Lovce"	Subplot		1	
19	Estra	Khaldun Jendayi	f	human	Kuzari	Jewish	Aristocrat: 3 / Rogue: 3	"Auburn rich hair, pale skin, rounded blue eyes, smallish nose"	Actress in Heny Jabahi's theater and loyal to him	Adventuring		1	
20	Belagond	Gummlison	m	kobold	Laestygian	Muslim (Sunni)	Spellthief: 7	"Square-faced, black skin, mullet hair, wears chainmail hauberk and greatsword sheath on back"	"Major, commands the guard at Acorma, dark military history as she fled combat after losing a wager"	Nobility		1	
21	Richard	"Rise (""Rice"")"	m	double kobold	Patagonian	Lutheran	Ardent: 7	"Brown short beard, green eyes, rounded body, wears luxurious fur and a gold amulet"	"Council member of Acorma, merchant"	The East		1	
22	Tatsuki	Yamamoto	m	werechicken	Thinisian	Egyptian	Fighter: 4 / Barbarian: 4	"Tanned, dark look, stern face, wears headdress, white shift and gold choker"	"Council member of Acorma, scholar"	The West		1	
23	Tisi	Pikilla	m	fish	Patagonian	Catholic	Dread Necromancer: 6	"Large man with walrus mustache and a  monocle leaning on a walking cane, wears velvet dressing gown"	"Council member of Acorma, former officer"	The North		1	
24	Siza	Pikilla	f	human	Patagonian	Lutheran	Ranger: 6 / Scorpion Wraith: 4	"Broken-nose but otherwise pretty face framed with curly black hair, wears red dress and high heels"	"Council member of Acorma, broker"	The South		1	
25	Ramon	Vissoro	m	human	Atlantian	Muslim (Sunni)	Barbarian: 6	Silver-haired pale woman with purple eyes. Tall and hauntingly thin with wiry lips.	"Council member of Acorma, trade manager"	The Metropolin		1	
26	Myuran	Komarudin	f	half dwarf	Nipponese	Bushido	Paladin:5/Excorcist of the Silver Flame:5	"Small lady in worn blue kimono and straw sandals, wrinkled face"	Cheesemaker in Gemesa village	Key Plot		1	
27	Tari	Orac	m	human	Iramian	Muslim (Sunni)	Cyre Scout 	"Imperial dark brown beard and goggles, wears leather tunic and apron, fingers covered in burn marks"	"Alchemist specializing in lie-detecting elixir, Mairutza village"	Subplot	Red box	1	
28	Sidro	Talosa	m	half kobold	Cushite	Muslim (Sunni)	Rogue: 7 / Fighter: 2	Think bald-shaven black man with sharp nose and cloudy eyes	"Captain of the Tacueitlilli, addicted to opium"	Adventuring		1	
29	Ansan	Dedje	m	centaur	Agarthan	Catholic	Order of the Bow Initiate	Long-armed wiry woman with a brown ponytail and pale green eyes	"First mate on the Tacueitlilli, tries to buy gunpowder and sell indigo"	Nobility		1	
30	Acochitl	Coba	f	chocolate golem	Scholomancian	Voudoun	Wizard (conjurer): 5 / Alienist: 3	"Ragged, graying shaggy beard, two feet missing, wears rags"	"Beggar, veteran"	The East		1	
31	Quetzi	Coba	m	plastic dragon	Laestygian	Egyptian	Rogue: 9	"Small black girl with long legs, pug nose and eyes far apart from each other."	"Thief, sister of Vyncis who died in the Temple of Thoth."	The West		1	
32	Estel	Cifuengo (formerly Taguala)	f	human	Kuzari	Jewish	Rogue: 2 / Bard: 1 / Fighter: 2 / Barbarian: 2 / Ranger :2 / Psychic Warrior: 1 / Cleric: 1	"Respectable woman with very short hair, large ivory earrings, small nose and a flowery linen dress."	Fence from Acorm	The North		1	
33	Bahira	Japuri	m	human	Thinisian	Lutheran	Rogue: 5 / Assassin: 5	"Brown balding man with wide nose and large ears, wears a leather robe over a cotton shirt with suspenders, dirty boots."	Burnt-out thaumaturgist dying of cold.	The South		1	
34	Fai-Xi	Nanping	f	human	Agarthan	Muslim (Sunni)	Fighter: 1	"Albino healthy looking man with long hair and muscular arms, wears studded leather jacket."	"Beekeeper from Alcalas, joins the rebellion in Acorma"	The Metropolin		1	
35	Safiya	Jaddah	f	human	Themiscyran	Catholic	Bard: 3 / Master Inquisitive: 3	"Broad-faced black woman with long hair, strong jaw and fierce eyes, wears ringmail armor"	"Weaver from Alcalas, joins the rebellion in Acorma"	Key Plot		1	
36	Birgha	Badun	f	human	Helikite	Catholic	Dragon Shaman: 4	"Stern, short gray hair and green eyes, wears gray linens."	"Mayor of Tref Pier, bought a book from Edgar Thatcher that changed her life."	Subplot		1	
37	Komba	Kela	f	kobold	Scholomancian	Lutheran	Artificer: 2 / Fighter: 3	"Long blond hair, broad face and blue eyes, wears threadbare purple cape over worn courtier's clothes"	"Disgraced nobleman. Has a bastard sword ""Okonchyaniye"""	Adventuring		1	
38	Okan	Nagasawa	m	double kobold	Nipponese	Catholic	Sorcerer	"Long black straight hair, large brown eyes, green kimono with flowery pattern and a daichi on her back"	"Ronin Samurai, nephew of Kagi Hibara who was murdered. "	Nobility		1	
39	Naki	Magawa	m	werechicken	Scholomancian	Orthodox Christian	Rogue: 2	"Scary looking brute with unkempt brown beard and bushy brows, carries a club and a crossbow."	Police	The East		1	
40	Otkend	Horlison	m	fish	Mezzoramian	Nord	Barbarian: 5 / Sorcerer: 1	"Dashing young black man with a twirling mustache, a bald head and a silk jacket. contact of Estra Khaldun Jendayi, "	Agent of the Grand Castle Hotel	The West		1	
41	Cai-Jiu	Jiangyi	m	human	Patagonian	Catholic	Rogue: 3	"Fully tattood gaunt man with a lamp mustache and a soul patch, wearing a magnificent robe of gold and blue."	"Conde of Tref Pier and the town of Torragol, absentee lord. Enemy of Conde Ballebra."	The North		1	
42	Giza	Meba	f	human	Scholomancian	Catholic	Rogue: 6	"Chubby red-faced mushroom-haired clean-shaven man in a habit, collar and a wooden cross around his neck."	Priest of Tref Pier	The South		1	
43	Oyuchin	Qori	m	half dwarf	Agarthan	Sun	Monk: 2 / Paladin: 4 / Argent Fist: 4	"Tall silver-haired woman with very long fingers, blue eyes and a thick woolen dark-brown coat."	Medium of Tref Pier	The Metropolin		1	
44	Nenetzina	Acalcos	f	human	Patagonian	Catholic	Fighter: 2	"Brown bob and bangs, sharp chin and nose, green eyes, yellow vest over green tunic and orange pantaloons. Smallsword at her belt."	Courtier arranges expeditions	Key Plot	Blue Box	1	
45	Malacapo	Coatzoyuco	f	half kobold	Agarthan	Muslim (Shi'a)	Druid: 5 / Ranger: 1 / Blighter: 2	Spectacled gray-bearded man with silver streaks in his hair wearing a brown dressing gown and white gloves.	Professor	Subplot		1	
46	Paldi	Kovasto	m	centaur	Thuvar	Atheist	Cleric: 4	"Barrel-bodied mustache and muttton-chops black-haired man with thick fingers, wearing workman's clothes and heavy boots."	Guildmaster of the Cooper's Guild. Was lover of Lomadwa Mana.	Adventuring	Page 32	1	
47	Linda	Fletcher	f	chocolate golem	Thinisian	Egyptian	Expert: 4 / Dragonmark Heir: 3	"Tanned gentle lady with makeup, head-dress and a silk shift, necklace of golden leaves."	"She of the Two Ladies, leader of House Taty"	Nobility		1	
48	Eden	Fletcher	m	plastic dragon	Thinisian	Lutheran	Expert: 2 / Ranger: 4 / Dread Pirate: 4	"Fat woman with black hair in a bun, wears silk jacket over a robe full of pockets and geta shoes."	Owner of the Grand Castle Hotel	The East		1	
49	Aguan	Ayamasin	m	human	Cushite	Muslim (Sunni)	Paladin: 8	"Gray curly hair, pencil mustache and goatee, monocle, wears a red mantlet over a yellow velvet jacket, hose and a smallsword."	"Novoriche ennobled Cushite family, made its fortune in tulips"	The West		1	
